Gene	Treatment B label
ADAM9	-0.01
ADAMDEC1	5.75
ADAMTS1	-3.25
ADAMTS10	6.79
ADAMTS12	-6.73
ADAMTS13	-9.2
ADAMTS14	-1.16
ADAMTS15	-3.99
ADAMTS16	-6.18
ADAMTS17	-6.15
ADAMTS18	2.73
ADAMTS19	-2.68
ADAMTS2	-6.97
ADAMTS20	2.85
ADAMTS3	-4.72
ADAMTS4	7.3
ADAMTS5	6.43
ADAMTS6	-4.69
ADAMTS7	9.82
ADAMTS8	2.96
ADAMTS9	-4.35
ADAMTSL1	-4.59
ADAMTSL2	-7.03
ADAMTSL3	7.12
ADAMTSL4	-1.74
ADAMTSL5	-5.56
ADAP1	0.4
ADAP2	-2.94
ADAR	-0.41
ADARB1	-6.84
ADARB2	-4.97
ADAT1	5.28
ADAT2	3.21
ADAT3	8.63
ADC	9.94
ADCK1	-8.45
ADCK2	-7.14
ADCK3	9.79
ADCK4	0.88
ADCK5	-7.02
ADCY1	0.86
ADCY10	-7.32
ADCY2	-8.59
ADCY3	9.1
ADCY4	-9.29
ADCY5	8.37
ADCY6	-2.52
ADCY7	-0.68
ADCY8	3.72
ADCY9	-7.04
ADCYAP1	0.02
ADCYAP1R1	-2.35
ADD1	-4.26
ADD2	-3.53
ADD3	8.58
ADGB	2.58
ADH1A	-8.71
ADH1B	-9.53
ADH1C	-1.25
ADH4	5.54
ADH5	-1.46
ADH6	-7.32
ADH7	-1.21
ADHFE1	1.14
ADI1	4.29
ADIG	0.94
ADIPOQ	-7.43
ADIPOR1	-0.21
ADIPOR2	7
ADIRF	8.88
ADK	8.87
ADM	5.86
ADM2	2.59
ADM5	-4.62
ADNP	-5.04
ADNP2	-8.21
ADO	-9.66
ADORA1	1.52
ADORA2A	-0.81
ADORA2B	0.85
ADORA3	-4.62
ADPGK	0
ADPRH	5.9
ADPRHL1	6.89
ADPRHL2	-7.3
ADPRM	6.47
ADRA1A	-4.52
ADRA1B	0.55
ADRA1D	-7.14
ADRA2A	-9.77
ADRA2B	-0.28
ADRA2C	-8.19
ADRB1	9.75
ADRB2	2.57
ADRB3	6.03
ADRBK1	-1.48
ADRBK2	7.8
ADRM1	7.58
ADSL	-2.43
ADSS	-1.9
ADSSL1	-4.83
ADTRP	0.38
AEBP1	-9.99
AEBP2	-8.57
AEN	-4.16
AES	-2.75
AFAP1	-1.03
AFAP1L1	9.48
AFAP1L2	7.37
AFF1	-7.87
AFF2	-5.31
AFF3	-1.32
AFF4	-4.43
AFG3L2	9.25
AFM	6.05
AFMID	-7.61
AFP	0.41
AFTPH	9.3
AGA	2.41
AGAP1	2.01
AGAP11	-1.91
AGAP2	0.36
AGAP3	4.86
AGAP4	-1.19
AGAP5	-2.64
AGAP6	-5.12
AGAP7	-3.37
AGAP8	-7.22
AGAP9	-4.81
AGBL1	9.52
AGBL2	-4.45
AGBL3	9.46
AGBL4	-4.9
AGBL5	0.63
AGER	6.4
AGFG1	-6.55
AGFG2	-6.1
AGGF1	-4.15
AGK	-6.14
AGL	-2.97
AGMAT	-2.03
AGMO	0.34
AGO1	-9.38
AGO2	4.41
AGO3	-7.86
AGO4	-3.58
AGPAT1	7.89
AGPAT2	-1.24
AGPAT3	7.33
AGPAT4	3.26
AGPAT5	-6.1
AGPAT6	6.89
AGPAT9	-1.46
AGPS	4.4
AGR2	-8.07
AGR3	-7.43
AGRN	2.09
AGRP	-2.57
AGT	5.17
AGTPBP1	-3.47
AGTR1	-7.35
AGTR2	3.33
AGTRAP	6.21
AGXT	3.48
AGXT2	-3.2
AHCTF1	-0.03
AHCY	-1.76
AHCYL1	-1.32
AHCYL2	0.46
AHDC1	-3
AHI1	-7.23
AHNAK	-3.88
AHNAK2	-7.95
AHR	-6.38
AHRR	-8.28
AHSA1	-5.58
AHSA2	3.1
AHSG	9.63
AHSP	-6.47
AICDA	8.94
AIDA	-8.5
AIF1	9.24
AIF1L	8.64
AIFM1	-3.83
AIFM2	8.68
AIFM3	0.3
AIG1	-2.24
AIM1	1.85
AIM1L	0.4
AIM2	6.78
AIMP1	-2.03
AIMP2	1.19
AIP	-8.98
AIPL1	4.06
AIRE	7.75
AJAP1	-8.65
AJUBA	-5.66
AK1	3.28
AK2	-0.37
AK3	4.59
AK4	2.29
AK5	0.98
AK6	9.32
AK7	-7.6
AK8	-5.11
AK9	-4.72
AKAP1	8.76
AKAP10	-3.52
AKAP11	3.45
AKAP12	-6.8
AKAP13	-7.99
AKAP14	-4.81
AKAP17A	-7.86
AKAP2	-7.42
AKAP3	1.04
AKAP4	4.91
AKAP5	7.17
AKAP6	6.92
AKAP7	4.89
AKAP8	-6.72
AKAP8L	-2.21
AKAP9	1.37
AKIP1	0.6
AKIRIN1	-8.17
AKIRIN2	7.2
AKNA	-5.27
AKNAD1	-6.48
AKR1A1	8.83
AKR1B1	-0.78
AKR1B10	4.4
AKR1B15	9.29
AKR1C1	4.22
AKR1C2	-6.94
AKR1C3	3.72
AKR1C4	6.91
AKR1D1	-4.4
AKR1E2	-7.44
AKR7A2	0.97
AKR7A3	0.07
AKT1	8.71
AKT1S1	-6.9
AKT2	8.61
AKT3	6.49
AKTIP	-7.06
ALAD	-2.37
ALAS1	7.88
ALAS2	9.26
ALB	7.84
ALCAM	-6.61
ALDH16A1	0.67
ALDH18A1	2.7
ALDH1A1	-7.74
ALDH1A2	5.42
ALDH1A3	-5.84
ALDH1B1	-7.86
ALDH1L1	-5.95
ALDH1L2	1.17
ALDH2	3.62
ALDH3A1	6.97
ALDH3A2	-6.08
ALDH3B1	-8.62
ALDH3B2	4.65
ALDH4A1	-8.25
ALDH5A1	-3.41
ALDH6A1	-5.14
ALDH7A1	2.14
ALDH8A1	-0.86
ALDH9A1	-6.62
ALDOA	5.66
ALDOB	-2.96
ALDOC	6.25
ALG1	-6.51
ALG10	-9.06
ALG10B	-4.85
ALG11	-8.6
ALG12	7.84
ALG13	5.9
ALG14	-4.48
ALG1L	-8.58
ALG1L2	-2.02
ALG2	-4.26
ALG3	-1.32
ALG5	-5.9
ALG6	-6.98
ALG8	4.99
ALG9	1.99
ALK	1.2
ALKBH1	6.06
ALKBH2	0.98
ALKBH3	5.21
ALKBH4	-0.26
ALKBH5	4.99
ALKBH6	7.12
ALKBH7	7.49
ALKBH8	-2.88
ALLC	6.41
ALMS1	-8.18
ALOX12	0.78
ALOX12B	0.45
ALOX15	-8.3
ALOX15B	-0.11
ALOX5	7.24
ALOX5AP	6.02
ALOXE3	4.04
ALPI	9.73
ALPK1	5.9
ALPK2	-6.63
ALPK3	2.86
ALPL	9.89
ALPP	-9.33
ALPPL2	2.48
ALS2	-7.07
ALS2CL	5.21
ALS2CR11	4.64
ALS2CR12	6.42
ALX1	1.68
ALX3	-0.2
ALX4	-0.43
ALYREF	2.65
AMACR	0
AMBN	3.2
AMBP	3.52
AMBRA1	8.53
AMD1	9.13
AMDHD1	8.55
AMDHD2	-4.77
AMELX	-9.13
AMELY	0.31
AMER1	-5.36
AMER2	-7
AMER3	8.71
AMFR	-2.68
AMH	-2.03
AMHR2	-1.67
AMICA1	2.39
AMIGO1	-2.53
AMIGO2	-8.5
AMIGO3	-0.41
AMMECR1	-8.3
AMMECR1L	-1.3
AMN	2.56
AMN1	3.12
AMOT	2.02
AMOTL1	0.82
AMOTL2	-5.97
AMPD1	4.21
AMPD2	-7.29
AMPD3	8.39
AMPH	9.31
AMT	4.43
AMTN	-3.02
AMY1A	1.03
AMY1B	1.7
AMY1C	5.23
AMY2A	8.91
AMY2B	0.69
AMZ1	-6.4
AMZ2	-7.49
ANAPC1	0.73
ANAPC10	7
ANAPC11	-0.35
ANAPC13	-6.08
ANAPC15	6.56
ANAPC16	-9.83
ANAPC2	4.24
ANAPC4	-9.4
ANAPC5	-2.83
ANAPC7	-1.2
ANG	10
ANGEL1	-5.78
ANGEL2	9.52
ANGPT1	9.82
ANGPT2	5.64
ANGPT4	-2.13
ANGPTL1	8.95
ANGPTL2	8.94
ANGPTL3	-2.72
ANGPTL4	-7.67
ANGPTL5	-7.08
ANGPTL6	7.5
ANGPTL7	-4.93
ANHX	-6.41
ANK1	-6.51
ANK2	6.32
ANK3	-2.36
ANKAR	3.21
ANKDD1A	-8.07
ANKDD1B	9.66
ANKEF1	-9.05
ANKFN1	7.32
ANKFY1	9.74
ANKH	-8.68
ANKHD1	-8.42
ANKHD1-EIF4EBP3	8.98
ANKIB1	-1.08
ANKK1	-9.03
ANKLE1	-0.52
ANKLE2	-1.71
ANKMY1	-7.28
ANKMY2	-7.07
ANKRA2	-8.97
ANKRD1	2.69
ANKRD10	0.48
ANKRD11	-2.71
ANKRD12	2.11
ANKRD13A	3.79
ANKRD13B	9.93
ANKRD13C	-0.73
ANKRD13D	-0.59
ANKRD16	-0.6
ANKRD17	0.58
ANKRD18A	9.58
ANKRD18B	5.4
ANKRD2	-3.08
ANKRD20A1	1.07
ANKRD20A2	-7.27
ANKRD20A3	-5.94
ANKRD20A4	-7.5
ANKRD22	2.88
ANKRD23	9.34
ANKRD24	-3.06
ANKRD26	-5.64
ANKRD27	4.68
ANKRD28	5.07
ANKRD29	-4.01
ANKRD30A	3.62
ANKRD30B	-1.12
ANKRD31	-9.71
ANKRD32	-7.31
ANKRD33	8.55
ANKRD33B	-2.36
ANKRD34A	-6.24
ANKRD34B	-3.07
ANKRD34C	2.5
ANKRD35	2.84
ANKRD36	2.56
ANKRD36B	-7.63
ANKRD37	8.8
ANKRD39	1.37
ANKRD40	-5.61
ANKRD42	-4.74
ANKRD44	7.84
ANKRD45	0.2
ANKRD46	7.19
ANKRD49	-8.68
ANKRD50	1.05
ANKRD52	-8.58
ANKRD53	-7.48
ANKRD54	4.06
ANKRD55	-7.8
ANKRD6	2.99
ANKRD61	5.83
ANKRD62	5.8
ANKRD63	9.37
ANKRD65	5.37
ANKRD66	7.29
ANKRD7	-0.36
ANKRD9	1.12
ANKS1A	-1.48
ANKS1B	6.62
ANKS3	-0.93
ANKS4B	-9.51
ANKS6	9.74
ANKUB1	4.57
ANKZF1	2.1
ANLN	7.79
ANO1	-0.33
ANO10	0.32
ANO2	4.75
ANO3	7.39
ANO4	-7.21
ANO5	4.87
ANO6	1.29
ANO7	3.7
ANO8	0.05
ANO9	-4.44
ANP32A	3.79
ANP32B	8.04
ANP32C	0.01
ANP32D	-9.79
ANP32E	-1.65
ANPEP	0.78
ANTXR1	-6.58
ANTXR2	-1.89
ANTXRL	-6.4
ANXA1	0.87
ANXA10	8.59
ANXA11	3.56
ANXA13	-7.18
ANXA2	-8.7
ANXA2R	4.77
ANXA3	-4.64
ANXA4	-6.91
ANXA5	6.87
ANXA6	5.37
ANXA7	3.72
ANXA8	-3.54
ANXA8L1	3.66
ANXA8L2	-2.37
ANXA9	-8.79
AOAH	9.64
AOC1	-7.75
AOC2	3.67
AOC3	-2.53
AOX1	-9.9
AP1AR	8.52
AP1B1	-7.12
AP1G1	-9.72
AP1G2	-6.48
AP1M1	5.87
AP1M2	-2.52
AP1S1	-3.22
AP1S2	-1.66
AP1S3	-8.88
AP2A1	-0.44
AP2A2	-4.93
AP2B1	2.38
AP2M1	-4.15
AP2S1	-3.78
AP3B1	-4.02
AP3B2	3.67
AP3D1	-7.21
AP3M1	-2.55
AP3M2	-4.64
AP3S1	-8
AP3S2	6.32
AP4B1	4.15
AP4E1	-0.8
AP4M1	8.01
AP4S1	3.99
AP5B1	-1
AP5M1	8.78
AP5S1	8.26
AP5Z1	-2.32
APAF1	-9.72
APBA1	8.48
APBA2	-9.08
APBA3	-7.45
APBB1	-5.36
APBB1IP	4.97
APBB2	3.16
APBB3	5.83
APC	-7.77
APC2	5.47
APCDD1	-3.97
APCDD1L	-4.37
APCS	-5.26
APEH	-3.68
APEX1	4.15
APEX2	6.54
APH1A	-7.74
APH1B	0.34
API5	3.82
APIP	-1.01
APITD1	-2.67
APITD1-CORT	-4.01
APLF	-1.21
APLN	6.96
APLNR	-0.23
APLP1	9.82
APLP2	-4.08
APMAP	-7.24
APOA1	5.74
APOA1BP	9.33
APOA2	-9.08
APOA4	-4.05
APOA5	6.07
APOB	8.46
APOBEC1	-6.1
APOBEC2	8.03
APOBEC3A	3.79
APOBEC3B	4.07
APOBEC3C	3.1
APOBEC3D	-3.32
APOBEC3F	-2.71
APOBEC3G	-0.1
APOBEC3H	1.13
APOBEC4	-5.04
APOBR	-4.14
APOC1	3.08
APOC2	8.63
APOC3	-9.23
APOC4	7.95
APOD	-2.06
APOE	8.03
APOF	-5.06
APOH	9.44
APOL1	-7.42
APOL2	3.28
APOL3	3.75
APOL4	5.23
APOL5	-1.86
APOL6	-7.13
APOLD1	-4.96
APOM	4.86
APOO	1
APOOL	9.49
APOPT1	0.87
APP	-8.81
APPBP2	0.96
APPL1	3.27
APPL2	-9.22
APRT	-7.89
APTX	-1.8
AQP1	7.62
AQP10	-4.98
AQP11	-9.93
AQP12A	-2.25
AQP12B	8.51
AQP2	-7.91
AQP3	-6.5
AQP4	2.67
AQP5	9.11
AQP6	-3.5
AQP7	7.82
AQP8	-5.43
AQP9	9.61
AQPEP	7.13
AQR	6.82
AR	-3.62
ARAF	2.38
ARAP1	0.6
ARAP2	2.64
ARAP3	-0.5
ARC	5.76
ARCN1	-0.12
AREG	-7.4
AREL1	-9.64
ARF1	8.57
ARF3	8.73
ARF4	-6.2
ARF5	6.74
ARF6	-5.85
ARFGAP1	-8.32
ARFGAP2	3.21
ARFGAP3	-1.21
ARFGEF1	-2.57
ARFGEF2	5.76
ARFIP1	-2.93
ARFIP2	2.51
ARFRP1	-9.67
ARG1	-7.09
ARG2	2.65
ARGFX	1.51
ARGLU1	-2.67
ARHGAP1	9.88
ARHGAP10	5.88
ARHGAP11A	-5
ARHGAP11B	8.32
ARHGAP12	4.56
ARHGAP15	-9.27
ARHGAP17	2.98
ARHGAP18	-3.6
ARHGAP19	3.54
ARHGAP20	-3.78
ARHGAP21	-3.88
ARHGAP22	-8.23
ARHGAP23	-1.84
ARHGAP24	-6.74
ARHGAP25	9.09
ARHGAP26	4.53
ARHGAP27	-4.39
ARHGAP28	-3.41
ARHGAP29	8.67
ARHGAP30	-6.02
ARHGAP31	-7.18
ARHGAP32	-4.25
ARHGAP33	-5.38
ARHGAP35	-5.68
ARHGAP36	4.63
ARHGAP39	-9.6
ARHGAP4	9.27
ARHGAP40	-2.91
ARHGAP42	3.09
ARHGAP44	6.41
ARHGAP5	-2.1
ARHGAP6	-8.95
ARHGAP8	9.78
ARHGAP9	3.6
ARHGDIA	-0.07
ARHGDIB	-8.11
ARHGDIG	6.21
ARHGEF1	5.38
ARHGEF10	-4.51
ARHGEF10L	9.51
ARHGEF11	5.28
ARHGEF12	-7.38
ARHGEF15	3.73
ARHGEF16	7.63
ARHGEF17	-9.99
ARHGEF18	4.47
ARHGEF19	-7.12
ARHGEF2	-3.96
ARHGEF25	8.01
ARHGEF26	2.12
ARHGEF28	-8.41
ARHGEF3	0.06
ARHGEF33	1.77
ARHGEF35	2.38
ARHGEF37	7.16
ARHGEF38	-2.31
ARHGEF39	-2.32
ARHGEF4	-7.73
ARHGEF40	-5.13
ARHGEF5	-4.43
ARHGEF6	1.16
ARHGEF7	-2.31
ARHGEF9	5.01
ARID1A	-7.33
ARID1B	-0.96
ARID2	-6.49
ARID3A	5.49
ARID3B	-3.27
ARID3C	-6.63
ARID4A	-9.73
ARID4B	-7.21
ARID5A	3.09
ARID5B	4.57
ARIH1	-4.32
ARIH2	-6.45
ARIH2OS	-4.68
ARL1	2.36
ARL10	7.17
ARL11	3
ARL13A	5.35
ARL13B	-4.01
ARL14	9.57
ARL14EP	8.06
ARL14EPL	-3.75
ARL15	-3.99
ARL16	-9.49
ARL17A	-3.91
ARL17B	-4.04
ARL2	-0.25
ARL2BP	-9.79
ARL3	-0.73
ARL4A	4.91
ARL4C	3.2
ARL4D	-9.75
ARL5A	-8.17
ARL5B	-2.88
ARL5C	-0.66
ARL6	-3.95
ARL6IP1	-3.75
ARL6IP4	-6.6
ARL6IP5	1.53
ARL6IP6	3.05
ARL8A	6.58
ARL8B	6.21
ARL9	-1.95
ARMC1	5.95
ARMC10	7.89
ARMC12	0.67
ARMC2	-9.39
ARMC3	-8.13
ARMC4	-1.98
ARMC5	4.24
ARMC6	7.27
ARMC7	4.13
ARMC8	-4.1
ARMC9	-2.33
ARMCX1	-4.96
ARMCX2	-5.67
ARMCX3	-2.28
ARMCX4	1.23
ARMCX5	8.84
ARMCX6	1.46
ARMS2	-5.77
ARNT	1.68
ARNT2	1.03
ARNTL	4.3
ARNTL2	4.09
ARPC1A	-7.04
ARPC1B	-0.52
ARPC2	-0.94
ARPC3	4.02
ARPC4	3.26
ARPC4-TTLL3	-8.55
ARPC5	2.36
ARPC5L	4.62
ARPP19	-6.9
ARPP21	-9.15
ARR3	-5.02
ARRB1	-3.56
ARRB2	7.95
ARRDC1	-7.82
ARRDC2	8.54
ARRDC3	-7.82
ARRDC4	7.44
ARRDC5	-9.93
ARSA	-9.51
ARSB	-6.33
ARSD	2.82
ARSE	-8.49
ARSF	-1.26
ARSG	-8.1
ARSH	6.47
ARSI	1.13
ARSJ	-7.09
ARSK	7.68
ART1	2.54
ART3	4.95
ART4	-9.41
ART5	-3.39
ARTN	-4.63
ARV1	-9.39
ARVCF	7.97
ARX	-3.33
AS3MT	8.66
ASAH1	2.23
ASAH2	7.63
ASAH2B	-8.51
ASAP1	6.93
ASAP2	-7.65
ASAP3	-8.64
ASB1	0.08
ASB10	-4.2
ASB11	2.37
ASB12	4.98
ASB13	1.31
ASB14	5.96
ASB15	-5.82
ASB16	6.32
ASB17	-4.13
ASB18	-6.89
ASB2	-7.45
ASB3	-2.82
ASB4	7.06
ASB5	-3.48
ASB6	-6.28
ASB7	6.97
ASB8	1.6
ASB9	7.19
ASCC1	8.44
ASCC2	-0.95
ASCC3	2.47
ASCL1	-5.51
ASCL2	8.77
ASCL3	-1.16
ASCL4	-6.01
ASCL5	3.71
ASF1A	6.46
ASF1B	-7.98
ASGR1	-5.92
ASGR2	1.68
ASH1L	-0.6
ASH2L	-8.13
ASIC1	4.59
ASIC2	-2.52
ASIC3	-9.17
ASIC4	-4.19
ASIC5	2.79
ASIP	-4.2
ASL	-0.17
ASMT	0.4
ASMTL	-7.82
ASNA1	-9.22
ASNS	-5.77
ASNSD1	4.35
ASPA	-0.42
ASPDH	-6.82
ASPG	-2.33
ASPH	-7.4
ASPHD1	-2.58
ASPHD2	-9.98
ASPM	1.04
ASPN	-1.04
ASPRV1	9.12
ASPSCR1	2.73
ASRGL1	-2.8
ASS1	-9.54
ASTE1	5.07
ASTL	5.24
ASTN1	8.51
ASTN2	-0.27
ASUN	1.95
ASXL1	3.96
ASXL2	0.29
ASXL3	9.57
ASZ1	1.03
ATAD1	-2.28
ATAD2	-7.57
ATAD2B	7.27
ATAD3A	-7.13
ATAD3B	3.86
ATAD3C	7.16
ATAD5	4.4
ATAT1	-7.54
ATCAY	-4.76
ATE1	3.12
ATF1	-8.92
ATF2	-6.45
ATF3	-9.4
ATF4	-9.76
ATF5	-2.31
ATF6	-4.78
ATF6B	4.05
ATF7	-6.99
ATF7IP	6.77
ATF7IP2	-0.72
ATG10	-6.46
ATG12	2.57
ATG13	9.24
ATG14	2.74
ATG16L1	6.2
ATG16L2	8.41
ATG2A	-2.66
ATG2B	7.22
ATG3	-1.41
ATG4A	2.74
ATG4B	5.19
ATG4C	-8.79
ATG4D	9.25
ATG5	-9.68
ATG7	2.83
ATG9A	4.02
ATG9B	-8.94
ATHL1	9.3
ATIC	6.85
ATL1	1.43
ATL2	5.38
ATL3	-2.78
ATM	6.66
ATMIN	-0.88
ATN1	-8.59
ATOH1	-8.9
ATOH7	-1.55
ATOH8	3.75
ATOX1	-4.32
ATP10A	-9.44
ATP10B	4.33
ATP10D	2.29
ATP11A	3.53
ATP11B	-4.7
ATP11C	3.31
ATP12A	-6.41
ATP13A1	6.65
ATP13A2	4.28
ATP13A3	-7.46
ATP13A4	-6.21
ATP13A5	5.63
ATP1A1	1.81
ATP1A2	4.27
ATP1A3	0.09
ATP1A4	-4.48
ATP1B1	-1.17
ATP1B2	-3.03
ATP1B3	-3.76
ATP1B4	4.72
ATP2A1	-3.43
ATP2A2	7.59
ATP2A3	4.19
ATP2B1	9.81
ATP2B2	-4.57
ATP2B3	-2.1
ATP2B4	1.73
ATP2C1	1.91
ATP2C2	1.09
ATP4A	1.85
ATP4B	3.01
ATP5A1	-3.34
ATP5B	-1.74
ATP5C1	-1.56
ATP5D	-8.04
ATP5E	-3.49
ATP5F1	-8.2
ATP5G1	8.17
ATP5G2	3.49
ATP5G3	9.06
ATP5H	-3.74
ATP5I	-3.56
ATP5J	-1.78
ATP5J2	-3.55
ATP5J2-PTCD1	-3.16
ATP5L	8.05
ATP5L2	0.58
ATP5O	-1.88
ATP5S	7.25
ATP5SL	7.51
ATP6AP1	4.54
ATP6AP1L	8.31
ATP6AP2	4.62
ATP6V0A1	-3.69
ATP6V0A2	-4.34
ATP6V0A4	5.53
ATP6V0B	-5.47
ATP6V0C	-7.63
ATP6V0D1	-7.94
ATP6V0D2	-5.31
ATP6V0E1	3.62
ATP6V0E2	-2.76
ATP6V1A	-4.47
ATP6V1B1	-4.06
ATP6V1B2	-9.14
ATP6V1C1	4.25
ATP6V1C2	-2.99
ATP6V1D	-5.93
ATP6V1E1	2.84
ATP6V1E2	-5.05
ATP6V1F	4.91
ATP6V1G1	3.5
ATP6V1G2	-8.28
ATP6V1G3	8.99
ATP6V1H	0.08
ATP7A	-8.26
ATP7B	-7.19
ATP8A1	-3.33
ATP8A2	-5.41
ATP8B1	1.32
ATP8B2	2.88
ATP8B3	0.77
ATP8B4	9.81
ATP9A	6.15
ATP9B	-4.73
ATPAF1	-1.98
ATPAF2	-3.86
ATPIF1	6.18
ATR	9.9
ATRAID	0.56
ATRIP	-9.01
ATRN	-0.52
ATRNL1	-7.37
ATRX	3.63
ATXN1	-5.53
ATXN10	8.54
ATXN1L	-6.47
ATXN2	7.86
ATXN2L	1.46
ATXN3	-2.8
ATXN3L	6.35
ATXN7	-6.22
ATXN7L1	-6.73
ATXN7L2	3.85
ATXN7L3	7.39
ATXN7L3B	-3.83
AUH	4.87
AUNIP	8.06
AUP1	-6.23
AURKA	-8.08
AURKAIP1	-9.7
AURKB	4.24
AURKC	-1.23
AUTS2	-5.7
AVEN	-0.86
AVIL	-3.29
AVL9	-6.11
AVP	4.72
AVPI1	0.48
AVPR1A	8.73
