Gene	Treatment A label (can include Latex, e.g. (humble $\pi)^{\tau\rho y}$)
ADAM33	-3.8
ADAM7	-5.11
ADAM8	8.3
ADAM9	-8.82
ADAMDEC1	-9.22
ADAMTS1	-0.52
ADAMTS10	-9.91
ADAMTS12	-0.66
ADAMTS13	-0.81
ADAMTS14	4.76
ADAMTS15	4.54
ADAMTS16	4.13
ADAMTS17	6.93
ADAMTS18	2.51
ADAMTS19	-5.16
ADAMTS2	-5.9
ADAMTS20	-8.3
ADAMTS3	-2.49
ADAMTS4	0.93
ADAMTS5	-2.78
ADAMTS6	3.61
ADAMTS7	-5.99
ADAMTS8	-7.52
ADAMTS9	-0.13
ADAMTSL1	-3.97
ADAMTSL2	2.37
ADAMTSL3	3.52
ADAMTSL4	8.93
ADAMTSL5	6.41
ADAP1	-3.28
ADAP2	-6.5
ADAR	5.27
ADARB1	1.64
ADARB2	-4.31
ADAT1	5.43
ADAT2	-7.18
ADAT3	-4.67
ADC	0.43
ADCK1	9.13
ADCK2	7.68
ADCK3	5.85
ADCK4	-8.57
ADCK5	9.41
ADCY1	-3.39
ADCY10	-4.72
ADCY2	-1.83
ADCY3	-2.28
ADCY4	-5.11
ADCY5	2.34
ADCY6	-5.84
ADCY7	-9.63
ADCY8	-8.12
ADCY9	-9.21
ADCYAP1	2.94
ADCYAP1R1	-8.59
ADD1	4.2
ADD2	-1.64
ADD3	-1.34
ADGB	2.84
ADH1A	9.41
ADH1B	-7.01
ADH1C	-7.8
ADH4	4.39
ADH5	-2.82
ADH6	2.87
ADH7	0.14
ADHFE1	-8.44
ADI1	-3.3
ADIG	-5.15
ADIPOQ	3.48
ADIPOR1	-4.46
ADIPOR2	-3.04
ADIRF	-8.8
ADK	-4.46
ADM	6.44
ADM2	0.99
ADM5	-4.11
ADNP	7.15
ADNP2	3.63
ADO	-0.5
ADORA1	5.94
ADORA2A	5.26
ADORA2B	5.06
ADORA3	0.14
ADPGK	-1.24
ADPRH	-1.93
ADPRHL1	-2.42
ADPRHL2	8.33
ADPRM	3.93
ADRA1A	6.1
ADRA1B	-7.46
ADRA1D	8.55
ADRA2A	2.07
ADRA2B	5.46
ADRA2C	-8.11
ADRB1	-7.93
ADRB2	5.28
ADRB3	-3.34
ADRBK1	-1.95
ADRBK2	7.81
ADRM1	8.36
ADSL	1.16
ADSS	-6.57
ADSSL1	0.13
ADTRP	-8.46
AEBP1	-6.17
AEBP2	-5.84
AEN	1.23
AES	-5.66
AFAP1	-5.67
AFAP1L1	-4.17
AFAP1L2	-7.57
AFF1	-1.67
AFF2	-0.65
AFF3	-9.91
AFF4	-8.7
AFG3L2	-0.5
AFM	9.03
AFMID	-6.55
AFP	5.3
AFTPH	6.98
AGA	2
AGAP1	-8.34
AGAP11	7.54
AGAP2	0.11
AGAP3	-5.95
AGAP4	8.58
AGAP5	-2.44
AGAP6	-5.99
AGAP7	-6.18
AGAP8	-9.09
AGAP9	7.1
AGBL1	-9.28
AGBL2	-0.24
AGBL3	-2.65
AGBL4	8.32
AGBL5	7.3
AGER	-9.71
AGFG1	-6.23
AGFG2	8.37
AGGF1	0.34
AGK	6.02
AGL	-9.24
AGMAT	0.96
AGMO	0.61
AGO1	-5.49
AGO2	-9.32
AGO3	8.23
AGO4	8.73
AGPAT1	-8.57
AGPAT2	3.32
AGPAT3	4.82
AGPAT4	1.46
AGPAT5	9.58
AGPAT6	8.26
AGPAT9	0.12
AGPS	8.17
AGR2	-7.17
AGR3	-6.55
AGRN	3.6
AGRP	-4.9
AGT	-2.85
AGTPBP1	-6.43
AGTR1	-8.12
AGTR2	3.46
AGTRAP	-3.82
AGXT	-8.97
AGXT2	-6.32
AHCTF1	8.17
AHCY	2.92
AHCYL1	6.78
AHCYL2	-8.04
AHDC1	8.88
AHI1	-6.07
AHNAK	9.63
AHNAK2	8.09
AHR	2.18
AHRR	-1.09
AHSA1	-2.21
AHSA2	-9.7
AHSG	4.09
AHSP	-6.28
AICDA	8.35
AIDA	-8.57
AIF1	-7.78
AIF1L	-0.04
AIFM1	-3.07
AIFM2	-7.36
AIFM3	8.67
AIG1	-6.25
AIM1	5.91
AIM1L	2.76
AIM2	9.2
AIMP1	1.02
AIMP2	2.99
AIP	6.21
AIPL1	2.59
AIRE	-6.87
AJAP1	-1.54
AJUBA	6.06
AK1	-9.26
AK2	-8.9
AK3	-1.44
AK4	-5.04
AK5	-8.39
AK6	-3.3
AK7	5.04
AK8	-7.55
AK9	-3.99
AKAP1	8.05
AKAP10	8.98
AKAP11	6.44
AKAP12	-6.82
AKAP13	-9.71
AKAP14	-8.06
AKAP17A	-3.13
AKAP2	5.47
AKAP3	-9.25
AKAP4	-8.29
AKAP5	-3.9
AKAP6	3.91
AKAP7	0.63
AKAP8	-1.61
AKAP8L	6.61
AKAP9	-7.22
AKIP1	-5.5
AKIRIN1	-9.98
AKIRIN2	8.96
AKNA	-3.43
AKNAD1	6.52
AKR1A1	8.83
AKR1B1	-8.15
AKR1B10	4.65
AKR1B15	-2.89
AKR1C1	-7.59
AKR1C2	-4.77
AKR1C3	-1.45
AKR1C4	-5.03
AKR1D1	7.6
AKR1E2	5.31
AKR7A2	-2.82
AKR7A3	-7.48
AKT1	2.77
AKT1S1	-6.5
AKT2	-1.39
AKT3	-5.32
AKTIP	-1.65
ALAD	-6.92
ALAS1	6.16
ALAS2	-4.76
ALB	9.52
ALCAM	7.15
ALDH16A1	0.65
ALDH18A1	5.46
ALDH1A1	4.7
ALDH1A2	-3.57
ALDH1A3	3.03
ALDH1B1	1.39
ALDH1L1	3.17
ALDH1L2	8.95
ALDH2	-2.68
ALDH3A1	-4.41
ALDH3A2	6.1
ALDH3B1	0.28
ALDH3B2	4.69
ALDH4A1	2.97
ALDH5A1	-9.31
ALDH6A1	-9.08
ALDH7A1	-9.98
ALDH8A1	-5.33
ALDH9A1	9.97
ALDOA	0.33
ALDOB	6.15
ALDOC	5.35
ALG1	-7.72
ALG10	-1.99
ALG10B	6.01
ALG11	-7.57
ALG12	-9.32
ALG13	-2.31
ALG14	5.17
ALG1L	-3.68
ALG1L2	8.92
ALG2	-6.51
ALG3	3
ALG5	4.59
ALG6	9.79
ALG8	3.96
ALG9	8.26
ALK	-7.13
ALKBH1	-8.77
ALKBH2	-7.37
ALKBH3	-8.53
ALKBH4	-4.15
ALKBH5	7.52
ALKBH6	-8.83
ALKBH7	-5.2
ALKBH8	4.33
ALLC	6.41
ALMS1	7.1
ALOX12	-3.37
ALOX12B	5.69
ALOX15	2.4
ALOX15B	-2.74
ALOX5	4.23
ALOX5AP	-1.16
ALOXE3	-6.33
ALPI	-6.37
ALPK1	-4.44
ALPK2	-7.31
ALPK3	2.71
ALPL	-0.79
ALPP	9.66
ALPPL2	0.41
ALS2	-1.36
ALS2CL	-0.77
ALS2CR11	-9.85
ALS2CR12	-9.44
ALX1	-3.55
ALX3	4.06
ALX4	5.34
ALYREF	-3.08
AMACR	-5.85
AMBN	-9.31
AMBP	2.76
AMBRA1	-9.63
AMD1	-8.98
AMDHD1	0.74
AMDHD2	-7.5
AMELX	4.01
AMELY	-0.68
AMER1	-2.24
AMER2	-0.89
AMER3	-6.58
AMFR	-9.8
AMH	-3.26
AMHR2	6.66
AMICA1	9.52
AMIGO1	9.62
AMIGO2	8.15
AMIGO3	5
AMMECR1	-6.08
AMMECR1L	-9.96
AMN	7.55
AMN1	0.34
AMOT	-9.03
AMOTL1	-3.76
AMOTL2	-5.05
AMPD1	-8.58
AMPD2	7.08
AMPD3	-6.75
AMPH	5.6
AMT	-1.45
AMTN	-0.54
AMY1A	3.68
AMY1B	-3.72
AMY1C	-1.83
AMY2A	-8.33
AMY2B	-3.79
AMZ1	4.16
AMZ2	-7.85
ANAPC1	3.28
ANAPC10	-4.26
ANAPC11	2.85
ANAPC13	3.86
ANAPC15	9.62
ANAPC16	9.46
ANAPC2	-2.61
ANAPC4	-1.3
ANAPC5	2.14
ANAPC7	2.66
ANG	9.48
ANGEL1	-1.19
ANGEL2	1.16
ANGPT1	6.17
ANGPT2	-7.44
ANGPT4	8.33
ANGPTL1	1.52
ANGPTL2	8.09
ANGPTL3	-2.86
ANGPTL4	-8.93
ANGPTL5	-9.6
ANGPTL6	-1.85
ANGPTL7	-5.43
ANHX	3.44
ANK1	4.21
ANK2	3.79
ANK3	-2.93
ANKAR	-8.31
ANKDD1A	9.21
ANKDD1B	-5.36
ANKEF1	-3.17
ANKFN1	-3.84
ANKFY1	6.5
ANKH	7.71
ANKHD1	4.53
ANKHD1-EIF4EBP3	-5.95
ANKIB1	-6.66
ANKK1	-8.68
ANKLE1	3.69
ANKLE2	-2.38
ANKMY1	-9.02
ANKMY2	-6.52
ANKRA2	7.22
ANKRD1	5.14
ANKRD10	1
ANKRD11	0.36
ANKRD12	-7.91
ANKRD13A	-3.36
ANKRD13B	-5.31
ANKRD13C	-2.55
ANKRD13D	-7.86
ANKRD16	3.11
ANKRD17	-6.59
ANKRD18A	-3.22
ANKRD18B	-0.84
ANKRD2	-0.46
ANKRD20A1	7.38
ANKRD20A2	0.44
ANKRD20A3	6.81
ANKRD20A4	8.29
ANKRD22	4.59
ANKRD23	-2.7
ANKRD24	-6.13
ANKRD26	0.25
ANKRD27	5.96
ANKRD28	-6.6
ANKRD29	9.7
ANKRD30A	4.11
ANKRD30B	4.3
ANKRD31	-2.65
ANKRD32	-4.88
ANKRD33	-4.09
ANKRD33B	-6.85
ANKRD34A	2.77
ANKRD34B	-4.18
ANKRD34C	0.19
ANKRD35	-3.76
ANKRD36	0.54
ANKRD36B	-0.49
ANKRD37	-3.83
ANKRD39	4.12
ANKRD40	7.52
ANKRD42	2.55
ANKRD44	-4.05
ANKRD45	-9.11
ANKRD46	-1.55
ANKRD49	9.91
ANKRD50	4.19
ANKRD52	-0.82
ANKRD53	-4.69
ANKRD54	9.23
ANKRD55	1.71
ANKRD6	5.11
ANKRD61	-0.44
ANKRD62	7.9
ANKRD63	2.01
ANKRD65	-7.21
ANKRD66	-1.46
ANKRD7	-6.68
ANKRD9	-8.26
ANKS1A	-1.63
ANKS1B	-1.72
ANKS3	-0.03
ANKS4B	-2.62
ANKS6	-5.56
ANKUB1	1.13
ANKZF1	-4.83
ANLN	-9.08
ANO1	3.47
ANO10	4.37
ANO2	-8.12
ANO3	4.29
ANO4	-7.41
ANO5	2.52
ANO6	6.82
ANO7	-6.79
ANO8	-7.67
ANO9	4.71
ANP32A	2.17
ANP32B	6.04
ANP32C	-2.05
ANP32D	-5.96
ANP32E	6.46
ANPEP	1.5
ANTXR1	2.82
ANTXR2	-8.98
ANTXRL	-5.01
ANXA1	-9.73
ANXA10	4.68
ANXA11	2.78
ANXA13	9.27
ANXA2	-5.04
ANXA2R	9.64
ANXA3	-3.89
ANXA4	7.07
ANXA5	1.19
ANXA6	-4.33
ANXA7	0.64
ANXA8	-0.69
ANXA8L1	4.32
ANXA8L2	-6.77
ANXA9	-5.94
AOAH	5.56
AOC1	-8.56
AOC2	5.53
AOC3	8.68
AOX1	-3.68
AP1AR	-4.75
AP1B1	-8.78
AP1G1	3.1
AP1G2	-1.23
AP1M1	-5.43
AP1M2	-5.52
AP1S1	-4.92
AP1S2	-1.95
AP1S3	6.24
AP2A1	-5.99
AP2A2	-4.03
AP2B1	9.48
AP2M1	8.2
AP2S1	0.2
AP3B1	-4.62
AP3B2	-7.29
AP3D1	-7.41
AP3M1	-9.88
AP3M2	-0.28
AP3S1	2.66
AP3S2	6.07
AP4B1	9.42
AP4E1	6.84
AP4M1	-1.95
AP4S1	8.07
AP5B1	-2.23
AP5M1	-4.24
AP5S1	9.36
AP5Z1	-6.4
APAF1	-9.14
APBA1	-5.07
APBA2	-6.72
APBA3	-2.39
APBB1	-9.81
APBB1IP	6.29
APBB2	9.68
APBB3	-1.63
APC	-3.14
APC2	-4.05
APCDD1	4.71
APCDD1L	1.39
APCS	7.57
APEH	7.76
APEX1	-7.76
APEX2	1.26
APH1A	9.33
APH1B	4.05
API5	4.62
APIP	-3.03
APITD1	-7.13
APITD1-CORT	-8.92
APLF	4.69
APLN	-5.82
APLNR	7.28
APLP1	3.07
APLP2	6.3
APMAP	-4.04
APOA1	2.46
APOA1BP	1.2
APOA2	9.8
APOA4	-1.58
APOA5	-8.99
APOB	-7.21
APOBEC1	-4.79
APOBEC2	2.22
APOBEC3A	5.43
APOBEC3B	-9.17
APOBEC3C	3.32
APOBEC3D	9.53
APOBEC3F	7.33
APOBEC3G	-1.41
APOBEC3H	1.25
APOBEC4	-4.15
APOBR	-7.08
APOC1	-7.73
APOC2	-6.18
APOC3	6.84
APOC4	2.53
APOD	-0.28
APOE	-6.42
APOF	-7.95
APOH	4.44
APOL1	-7.75
APOL2	7.14
APOL3	8.59
APOL4	-6.51
APOL5	9.77
APOL6	6.12
APOLD1	0.71
APOM	-9.28
APOO	-1.26
APOOL	5.68
APOPT1	-0.88
APP	-0.39
APPBP2	-3.42
APPL1	8.4
APPL2	5.07
APRT	-1.19
APTX	9.45
AQP1	-8.26
AQP10	2.27
AQP11	-9.91
AQP12A	3.07
AQP12B	-7.44
AQP2	-1.53
AQP3	6.26
AQP4	-1.94
AQP5	2.59
AQP6	-8.94
AQP7	-5.14
AQP8	7.04
AQP9	0.47
AQPEP	2.23
AQR	0.78
AR	6.26
ARAF	1.53
ARAP1	3.76
ARAP2	-6.25
ARAP3	0.97
ARC	-9.67
ARCN1	9.4
AREG	-6.03
AREL1	9.1
ARF1	-5.61
ARF3	9.79
ARF4	2.42
ARF5	3.56
ARF6	-7.6
ARFGAP1	8.66
ARFGAP2	7.7
ARFGAP3	8.87
ARFGEF1	-8.74
ARFGEF2	1.57
ARFIP1	-9.8
ARFIP2	0.3
ARFRP1	-6.47
ARG1	6.08
ARG2	0.61
ARGFX	0.69
ARGLU1	-2.54
ARHGAP1	8.45
ARHGAP10	6.23
ARHGAP11A	6.39
ARHGAP11B	-1.29
ARHGAP12	-7.01
ARHGAP15	-0.35
ARHGAP17	0.41
ARHGAP18	7.28
ARHGAP19	4.51
ARHGAP20	3.08
ARHGAP21	-9.83
ARHGAP22	-4.79
ARHGAP23	-7.05
ARHGAP24	-8.54
ARHGAP25	-8.41
ARHGAP26	6.47
ARHGAP27	3.84
ARHGAP28	-0.38
ARHGAP29	8.26
ARHGAP30	1.89
ARHGAP31	-7.85
ARHGAP32	-9.78
ARHGAP33	7.65
ARHGAP35	-2.86
ARHGAP36	-2.54
ARHGAP39	7.23
ARHGAP4	5.4
ARHGAP40	-5.79
ARHGAP42	-9.68
ARHGAP44	-7.51
ARHGAP5	-5.21
ARHGAP6	-2.37
ARHGAP8	6.28
ARHGAP9	-4.53
ARHGDIA	1.49
ARHGDIB	-0.17
ARHGDIG	-4.93
ARHGEF1	1.55
ARHGEF10	2.41
ARHGEF10L	-4.28
ARHGEF11	-5.48
ARHGEF12	4.2
ARHGEF15	4.74
ARHGEF16	7.37
ARHGEF17	-4.91
ARHGEF18	-0.9
ARHGEF19	3.51
ARHGEF2	9.33
ARHGEF25	-0.23
ARHGEF26	1.96
ARHGEF28	-1.15
ARHGEF3	6.58
ARHGEF33	-6.76
ARHGEF35	-4.25
ARHGEF37	2.93
ARHGEF38	8.52
ARHGEF39	-1.27
ARHGEF4	9.83
ARHGEF40	-3.26
ARHGEF5	-5.74
ARHGEF6	-9.24
ARHGEF7	1.37
ARHGEF9	7.92
ARID1A	-8.76
ARID1B	1.32
ARID2	1.01
ARID3A	2.12
ARID3B	-5.16
ARID3C	-9.21
ARID4A	4.79
ARID4B	-9.07
ARID5A	-5.97
ARID5B	6.19
ARIH1	6.56
ARIH2	-1.51
ARIH2OS	-6.85
ARL1	-6.92
ARL10	-2.65
ARL11	-3.24
ARL13A	-9.1
ARL13B	-9.77
ARL14	-2.74
ARL14EP	6.11
ARL14EPL	6.05
ARL15	-6.31
ARL16	-1.11
ARL17A	-0.1
ARL17B	-1.03
ARL2	5.4
ARL2BP	8.31
ARL3	-9.89
ARL4A	-3.99
ARL4C	2.18
ARL4D	3.98
ARL5A	4.94
ARL5B	7.03
ARL5C	4.39
ARL6	-0.32
ARL6IP1	7.67
ARL6IP4	6.97
ARL6IP5	1.14
ARL6IP6	-9.55
ARL8A	-1.2
ARL8B	-2.92
ARL9	0.59
ARMC1	7.26
ARMC10	8.09
ARMC12	8.99
ARMC2	-9.1
ARMC3	-4.23
ARMC4	-2.47
ARMC5	-4.43
ARMC6	-7.97
ARMC7	-9.57
ARMC8	-3.9
ARMC9	-6.63
ARMCX1	3.45
ARMCX2	-0.09
ARMCX3	9.55
ARMCX4	4.08
ARMCX5	1.45
ARMCX6	0.05
ARMS2	6.23
ARNT	6.93
ARNT2	3.37
ARNTL	8.3
ARNTL2	-2.67
ARPC1A	-2.92
ARPC1B	-8.75
ARPC2	-5.53
ARPC3	-1.8
ARPC4	4.15
ARPC4-TTLL3	0.6
ARPC5	-6.87
ARPC5L	4.87
ARPP19	0.64
ARPP21	7.21
ARR3	-6.14
ARRB1	-6.26
ARRB2	7.8
ARRDC1	-1.41
ARRDC2	9.72
ARRDC3	-3.72
ARRDC4	1.72
ARRDC5	7.46
ARSA	-6.18
ARSB	-9.76
ARSD	1
ARSE	-7.48
ARSF	-3.16
ARSG	2.86
ARSH	-5.92
ARSI	-0.76
ARSJ	-0.97
ARSK	-7.71
ART1	0.26
ART3	0.37
ART4	0.5
ART5	3.44
ARTN	1.42
ARV1	4.63
ARVCF	-7.89
ARX	-4.78
AS3MT	2.3
ASAH1	7.32
ASAH2	2
ASAH2B	6.35
ASAP1	-8.59
ASAP2	1.74
ASAP3	-4.03
ASB1	5.64
ASB10	-2.24
ASB11	-2.85
ASB12	-5.35
ASB13	-3.83
ASB14	-3.75
ASB15	-3.3
ASB16	9.87
ASB17	-0.22
ASB18	-7.55
ASB2	-6.14
ASB3	-2.14
ASB4	7.99
ASB5	4.33
ASB6	-1.09
ASB7	-9.19
ASB8	5.83
ASB9	-8.24
ASCC1	5.84
ASCC2	6.17
ASCC3	7.87
ASCL1	4.81
ASCL2	3.45
ASCL3	1.07
ASCL4	-9.44
ASCL5	3.79
ASF1A	3.22
ASF1B	4.9
ASGR1	6.15
ASGR2	3.59
ASH1L	8.37
ASH2L	-1.15
ASIC1	-1.14
ASIC2	-4.44
ASIC3	1.74
ASIC4	9.03
ASIC5	-0.65
ASIP	-1.75
ASL	1.28
ASMT	-8.93
ASMTL	6.07
ASNA1	5.82
ASNS	6.06
ASNSD1	3.88
ASPA	3.35
ASPDH	1.32
ASPG	-4.32
ASPH	-5.57
ASPHD1	0.97
ASPHD2	5.86
ASPM	-3.16
ASPN	5.17
ASPRV1	-6.47
ASPSCR1	7.85
ASRGL1	5.31
ASS1	-4.46
ASTE1	-9.66
ASTL	-3.72
ASTN1	-6.23
ASTN2	8.79
ASUN	-2.41
ASXL1	-3.68
ASXL2	-2.48
ASXL3	-7.77
ASZ1	2.4
ATAD1	4.07
ATAD2	-8.7
ATAD2B	-2.23
ATAD3A	-3.21
ATAD3B	-4.3
ATAD3C	-7.71
ATAD5	6.49
ATAT1	4.67
ATCAY	-8.69
ATE1	4.41
ATF1	-4.48
ATF2	1.68
ATF3	-3.45
ATF4	-6.51
ATF5	-4.21
ATF6	-6.5
ATF6B	3.36
ATF7	7.38
ATF7IP	-8.81
ATF7IP2	4.13
ATG10	5.99
ATG12	-9.03
ATG13	0.11
ATG14	8.54
ATG16L1	7.46
ATG16L2	8
ATG2A	-4.35
ATG2B	9.48
ATG3	3.68
ATG4A	-5.51
ATG4B	-9.59
ATG4C	-5.02
ATG4D	-3.79
ATG5	-8.16
ATG7	-7.85
ATG9A	-9.94
ATG9B	-6.68
ATHL1	-6.91
ATIC	-0.06
ATL1	0.07
ATL2	-7.94
ATL3	5.43
ATM	-3.17
ATMIN	-9.73
ATN1	0.82
ATOH1	-3.53
ATOH7	-1.07
ATOH8	3.15
ATOX1	9.77
ATP10A	-1.65
ATP10B	5.95
ATP10D	-6.97
ATP11A	3.74
ATP11B	-2.37
ATP11C	-2.35
ATP12A	-7.17
ATP13A1	-4.18
ATP13A2	0.24
ATP13A3	8.28
ATP13A4	3.25
ATP13A5	8.54
ATP1A1	5.36
ATP1A2	-3.11
ATP1A3	-8.85
ATP1A4	-6.25
ATP1B1	4.51
ATP1B2	-5.82
ATP1B3	0.49
ATP1B4	-3.26
ATP2A1	-2.94
ATP2A2	5.82
ATP2A3	-3.1
ATP2B1	-4.69
ATP2B2	-6.16
ATP2B3	4.79
ATP2B4	-3.75
ATP2C1	9.95
ATP2C2	-1.25
ATP4A	-5.36
ATP4B	-5.59
ATP5A1	-2.96
ATP5B	7.98
ATP5C1	4.38
ATP5D	2.84
ATP5E	-4.91
ATP5F1	0.41
ATP5G1	5.7
ATP5G2	7.63
ATP5G3	6.99
ATP5H	-5.25
ATP5I	-6.77
ATP5J	4.64
ATP5J2	-4.32
ATP5J2-PTCD1	1.39
ATP5L	1.33
ATP5L2	7.01
ATP5O	-6.38
ATP5S	-4.98
ATP5SL	9.63
ATP6AP1	9.25
ATP6AP1L	-1.34
ATP6AP2	0.2
ATP6V0A1	1.06
ATP6V0A2	-0.85
ATP6V0A4	-6.36
ATP6V0B	4.89
ATP6V0C	-3.15
ATP6V0D1	-4.52
ATP6V0D2	0.78
ATP6V0E1	1.43
ATP6V0E2	8.47
ATP6V1A	-7.08
ATP6V1B1	2.84
ATP6V1B2	0.81
ATP6V1C1	4.66
ATP6V1C2	3.31
ATP6V1D	2.77
ATP6V1E1	-6.54
ATP6V1E2	-3.58
ATP6V1F	2.16
ATP6V1G1	-5.92
ATP6V1G2	-0.98
ATP6V1G3	-1.52
ATP6V1H	4.73
ATP7A	-5.17
ATP7B	-9
ATP8A1	2.88
ATP8A2	-3.13
ATP8B1	-2.53
ATP8B2	6.27
ATP8B3	-2.54
ATP8B4	-3.72
ATP9A	-1.11
ATP9B	-9.5
ATPAF1	5.32
ATPAF2	4.92
ATPIF1	-7.85
ATR	6.76
ATRAID	4.55
ATRIP	-7.74
ATRN	-5.31
ATRNL1	8.07
ATRX	-6.41
ATXN1	-2.51
ATXN10	1.11
ATXN1L	-8.22
ATXN2	8.98
ATXN2L	3.02
ATXN3	-2.77
ATXN3L	-7.95
ATXN7	3.67
ATXN7L1	-5.29
ATXN7L2	3.38
ATXN7L3	0.55
ATXN7L3B	-1.93
AUH	-1.51
AUNIP	-4.9
AUP1	9.81
AURKA	-2.75
AURKAIP1	-1.6
AURKB	-0.36
AURKC	-5.43
